"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","QASE-239 - Referral Type filter drop down > Placement","Chromium","Wed Nov 12 10:44:00 UTC 2025","failed","Wed Nov 12 10:44:00 UTC 2025","","tests/generated/QASE-239-Referral-Type-filter-drop-down---Placement.spec.ts","",""
"","50","TC_RF_012 - Verify selecting a payer filters the table","Chromium","Wed Nov 12 10:43:54 UTC 2025","failed","Wed Nov 12 10:43:54 UTC 2025","","referrals.spec.ts","",""
"","52","QASE-4 - [Functional] Open patient details popup on row click","Chromium","Wed Nov 12 10:44:06 UTC 2025","failed","Wed Nov 12 10:44:06 UTC 2025","","tests/generated/QASE-4--Functional--Open-patient-details-popup-on-row-click.spec.ts","",""
"","56","QASE-13 - [Smoke]-Patient detail popup appears on clicking a referral row","Chromium","Wed Nov 12 10:43:53 UTC 2025","failed","Wed Nov 12 10:43:53 UTC 2025","","tests/generated/QASE-13--Smoke--Patient-detail-popup-appears-on-clicking-a-referral-row.spec.ts","",""
"","48","QASE-250 - ""Select Referral Type"" > deselect single and all options","Chromium","Wed Nov 12 10:44:03 UTC 2025","failed","Wed Nov 12 10:44:03 UTC 2025","","tests/generated/QASE-250--Select-Referral-Type----deselect-single-and-all-options.spec.ts","",""
"","52","QASE-5 - [Functional] Schedule Appointment with provider and time slot","Chromium","Wed Nov 12 10:44:07 UTC 2025","failed","Wed Nov 12 10:44:07 UTC 2025","","tests/generated/QASE-5--Functional--Schedule-Appointment-with-provider-and-time-slot.spec.ts","",""
"","46","QASE-249 - ""Select Referral Type"" > filter drop down supports multi-select and displays correct options","Chromium","Wed Nov 12 10:44:03 UTC 2025","failed","Wed Nov 12 10:44:03 UTC 2025","","tests/generated/QASE-249--Select-Referral-Type----filter-drop-down-supports-multi-select-and-displays-correct-options.spec.ts","",""
"","56","TC_RF_001 - Verify referrals page loads successfully","Chromium","Wed Nov 12 10:43:50 UTC 2025","failed","Wed Nov 12 10:43:50 UTC 2025","","referrals.spec.ts","",""
"","49","QASE-242 - ""Select Referral Type"" > Selecting on particular option must sort the Referral List accordingly","Chromium","Wed Nov 12 10:44:01 UTC 2025","failed","Wed Nov 12 10:44:01 UTC 2025","","tests/generated/QASE-242--Select-Referral-Type----Selecting-on-particular-option-must-sort-the-Referral-List-accordingly.spec.ts","",""
"","53","QASE-11 - [Smoke]-Referral List loads successfully with expected columns","Chromium","Wed Nov 12 10:43:51 UTC 2025","failed","Wed Nov 12 10:43:51 UTC 2025","","tests/generated/QASE-11--Smoke--Referral-List-loads-successfully-with-expected-columns.spec.ts","",""
"","54","Perform Google login and save session","Chromium","Wed Nov 12 10:43:49 UTC 2025","failed","Wed Nov 12 10:43:49 UTC 2025","","login_fixed.spec.ts","",""
"","49","QASE-248 - [Smoke]-Verify all Referral Types are available in drop down","Chromium","Wed Nov 12 10:44:03 UTC 2025","failed","Wed Nov 12 10:44:03 UTC 2025","","tests/generated/QASE-248--Smoke--Verify-all-Referral-Types-are-available-in-drop-down.spec.ts","",""
"","47","QASE-284 - Sync Now > Success message","Chromium","Wed Nov 12 10:44:05 UTC 2025","failed","Wed Nov 12 10:44:05 UTC 2025","","tests/generated/QASE-284-Sync-Now---Success-message.spec.ts","",""
"","53","QASE-238 - Referral Type column > Empty field must display ""N/A""","Chromium","Wed Nov 12 10:43:59 UTC 2025","failed","Wed Nov 12 10:43:59 UTC 2025","","tests/generated/QASE-238-Referral-Type-column---Empty-field-must-display--N-A-.spec.ts","",""
