"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11026","Perform Google login and save session","Chromium","Wed Nov 12 15:39:18 IST 2025","passed","Wed Nov 12 15:39:29 IST 2025","","login_fixed.spec.ts","",""
"","1682","QASE-5 - [Functional] Schedule Appointment with provider and time slot","Chromium","Wed Nov 12 15:40:14 IST 2025","passed","Wed Nov 12 15:40:16 IST 2025","","tests\generated\QASE-5--Functional--Schedule-Appointment-with-provider-and-time-slot.spec.ts","",""
"","876","QASE-15 - [Smoke]-Successful patient creation","Chromium","Wed Nov 12 15:39:38 IST 2025","passed","Wed Nov 12 15:39:38 IST 2025","","tests\generated\QASE-15--Smoke--Successful-patient-creation.spec.ts","",""
"","1087","QASE-246 - Referral Type column > Placement","Chromium","Wed Nov 12 15:39:57 IST 2025","passed","Wed Nov 12 15:39:58 IST 2025","","tests\generated\QASE-246-Referral-Type-column---Placement.spec.ts","",""
"","1275","QASE-19 - [Smoke]-Verify all appointment types are available in dropdown","Chromium","Wed Nov 12 15:39:42 IST 2025","passed","Wed Nov 12 15:39:43 IST 2025","","tests\generated\QASE-19--Smoke--Verify-all-appointment-types-are-available-in-dropdown.spec.ts","",""
"","5826","TC_RF_001 - Verify referrals page loads successfully","Chromium","Wed Nov 12 15:39:29 IST 2025","passed","Wed Nov 12 15:39:35 IST 2025","","referrals.spec.ts","",""
"","936","QASE-6 - [Negative] Fail to create patient if required fields are missing","Chromium","Wed Nov 12 15:40:16 IST 2025","passed","Wed Nov 12 15:40:17 IST 2025","","tests\generated\QASE-6--Negative--Fail-to-create-patient-if-required-fields-are-missing.spec.ts","",""
"","1319","QASE-299 - Sync Now > Disable button during sync with loading state & disabled cursor","Chromium","Wed Nov 12 15:40:09 IST 2025","passed","Wed Nov 12 15:40:11 IST 2025","","tests\generated\QASE-299-Sync-Now---Disable-button-during-sync-with-loading-state---disabled-cursor.spec.ts","",""
"","7596","TC_RF_003 - Verify referral table loads with rows","Chromium","Wed Nov 12 15:39:45 IST 2025","passed","Wed Nov 12 15:39:52 IST 2025","","referrals.spec.ts","",""
"","1180","QASE-14 - [Smoke]-Create Patient button is visible if patient does not exist in Healthie","Chromium","Wed Nov 12 15:39:36 IST 2025","passed","Wed Nov 12 15:39:38 IST 2025","","tests\generated\QASE-14--Smoke--Create-Patient-button-is-visible-if-patient-does-not-exist-in-Healthie.spec.ts","",""
"","1196","QASE-2 - [Functional] Create Patient button appears for new referrals","Chromium","Wed Nov 12 15:39:43 IST 2025","passed","Wed Nov 12 15:39:45 IST 2025","","tests\generated\QASE-2--Functional--Create-Patient-button-appears-for-new-referrals.spec.ts","",""
"","997","QASE-10 - [Integration] Verify daily cron job runs at 5:30 AM PST/PDT","Chromium","Wed Nov 12 15:39:32 IST 2025","passed","Wed Nov 12 15:39:33 IST 2025","","tests\generated\QASE-10--Integration--Verify-daily-cron-job-runs-at-5-30-AM-PST-PDT.spec.ts","",""
"","7632","TC_RF_004 - Schedule Appointment button opens modal","Chromium","Wed Nov 12 15:39:52 IST 2025","passed","Wed Nov 12 15:40:00 IST 2025","","referrals.spec.ts","",""
"","1119","QASE-1 - [Functional] Display referral list with correct columns","Chromium","Wed Nov 12 15:39:31 IST 2025","passed","Wed Nov 12 15:39:32 IST 2025","","tests\generated\QASE-1--Functional--Display-referral-list-with-correct-columns.spec.ts","",""
"","1379","QASE-249 - ""Select Referral Type"" > filter drop down supports multi-select and displays correct options","Chromium","Wed Nov 12 15:40:01 IST 2025","passed","Wed Nov 12 15:40:02 IST 2025","","tests\generated\QASE-249--Select-Referral-Type----filter-drop-down-supports-multi-select-and-displays-correct-options.spec.ts","",""
"","1063","QASE-16 - [Smoke]-Schedule popup appears after clicking Schedule Appointment","Chromium","Wed Nov 12 15:39:38 IST 2025","passed","Wed Nov 12 15:39:39 IST 2025","","tests\generated\QASE-16--Smoke--Schedule-popup-appears-after-clicking-Schedule-Appointment.spec.ts","",""
"","1063","QASE-4 - [Functional] Open patient details popup on row click","Chromium","Wed Nov 12 15:40:13 IST 2025","passed","Wed Nov 12 15:40:14 IST 2025","","tests\generated\QASE-4--Functional--Open-patient-details-popup-on-row-click.spec.ts","",""
"","1373","QASE-3 - [Functional] Schedule button appears for existing patients","Chromium","Wed Nov 12 15:40:11 IST 2025","passed","Wed Nov 12 15:40:12 IST 2025","","tests\generated\QASE-3--Functional--Schedule-button-appears-for-existing-patients.spec.ts","",""
"","1609","QASE-7 - [Integration] Sync Now updates referral list from Monday.com","Chromium","Wed Nov 12 15:40:17 IST 2025","passed","Wed Nov 12 15:40:19 IST 2025","","tests\generated\QASE-7--Integration--Sync-Now-updates-referral-list-from-Monday.com.spec.ts","",""
"","1030","QASE-237 - Referral Type column > type of referrals in column","Chromium","Wed Nov 12 15:39:46 IST 2025","passed","Wed Nov 12 15:39:47 IST 2025","","tests\generated\QASE-237-Referral-Type-column---type-of-referrals-in-column.spec.ts","",""
"","1481","QASE-18 - [Smoke]-Close button dismisses patient detail popup","Chromium","Wed Nov 12 15:39:41 IST 2025","passed","Wed Nov 12 15:39:42 IST 2025","","tests\generated\QASE-18--Smoke--Close-button-dismisses-patient-detail-popup.spec.ts","",""
"","5239","TC_RF_005 - Search by patient name filters results","Chromium","Wed Nov 12 15:40:00 IST 2025","passed","Wed Nov 12 15:40:05 IST 2025","","referrals.spec.ts","",""
"","994","QASE-17 - [Smoke]-Appointment scheduled with valid inputs","Chromium","Wed Nov 12 15:39:40 IST 2025","passed","Wed Nov 12 15:39:41 IST 2025","","tests\generated\QASE-17--Smoke--Appointment-scheduled-with-valid-inputs.spec.ts","",""
"","1537","QASE-13 - [Smoke]-Patient detail popup appears on clicking a referral row","Chromium","Wed Nov 12 15:39:35 IST 2025","passed","Wed Nov 12 15:39:36 IST 2025","","tests\generated\QASE-13--Smoke--Patient-detail-popup-appears-on-clicking-a-referral-row.spec.ts","",""
"","1187","QASE-251 - ""Select Payer"" > filter drop down supports multi-select and displays correct options","Chromium","Wed Nov 12 15:40:04 IST 2025","passed","Wed Nov 12 15:40:05 IST 2025","","tests\generated\QASE-251--Select-Payer----filter-drop-down-supports-multi-select-and-displays-correct-options.spec.ts","",""
"","2391","TC_RF_014 - Verify payer dropdown options are unique","Chromium","Wed Nov 12 15:40:27 IST 2025","passed","Wed Nov 12 15:40:29 IST 2025","","referrals.spec.ts","",""
"","1480","QASE-241 - ""Select Referral Type"" > drop down options","Chromium","Wed Nov 12 15:39:51 IST 2025","passed","Wed Nov 12 15:39:53 IST 2025","","tests\generated\QASE-241--Select-Referral-Type----drop-down-options.spec.ts","",""
"","1127","QASE-252 - ""Select Payer"" > deselect single and all options","Chromium","Wed Nov 12 15:40:05 IST 2025","passed","Wed Nov 12 15:40:06 IST 2025","","tests\generated\QASE-252--Select-Payer----deselect-single-and-all-options.spec.ts","",""
"","996","QASE-11 - [Smoke]-Referral List loads successfully with expected columns","Chromium","Wed Nov 12 15:39:33 IST 2025","passed","Wed Nov 12 15:39:34 IST 2025","","tests\generated\QASE-11--Smoke--Referral-List-loads-successfully-with-expected-columns.spec.ts","",""
"","1873","QASE-244 - Referral Type > Access to Admin & Super admin","Chromium","Wed Nov 12 15:39:55 IST 2025","passed","Wed Nov 12 15:39:57 IST 2025","","tests\generated\QASE-244-Referral-Type---Access-to-Admin---Super-admin.spec.ts","",""
"","1578","QASE-285 - Sync Now > Failed message","Chromium","Wed Nov 12 15:40:08 IST 2025","passed","Wed Nov 12 15:40:09 IST 2025","","tests\generated\QASE-285-Sync-Now---Failed-message.spec.ts","",""
"","9788","TC_RF_012 - Verify selecting a payer filters the table","Chromium","Wed Nov 12 15:40:11 IST 2025","passed","Wed Nov 12 15:40:21 IST 2025","","referrals.spec.ts","",""
"","2533","DEBUG - Find Select Payer dropdown locator","Chromium","Wed Nov 12 15:40:29 IST 2025","passed","Wed Nov 12 15:40:31 IST 2025","","referrals.spec.ts","",""
"","872","QASE-8 - [Edge] No referral data returns empty table message","Chromium","Wed Nov 12 15:40:19 IST 2025","passed","Wed Nov 12 15:40:19 IST 2025","","tests\generated\QASE-8--Edge--No-referral-data-returns-empty-table-message.spec.ts","",""
"","1237","QASE-238 - Referral Type column > Empty field must display ""N/A""","Chromium","Wed Nov 12 15:39:47 IST 2025","passed","Wed Nov 12 15:39:48 IST 2025","","tests\generated\QASE-238-Referral-Type-column---Empty-field-must-display--N-A-.spec.ts","",""
"","9434","TC_RF_002 - Verify filter controls are visible","Chromium","Wed Nov 12 15:39:35 IST 2025","passed","Wed Nov 12 15:39:45 IST 2025","","referrals.spec.ts","",""
"","12376","Perform Google login and save session","Chromium","Wed Nov 12 15:39:18 IST 2025","passed","Wed Nov 12 15:39:31 IST 2025","","login.spec.ts","",""
"","1080","QASE-301 - [Functional] Display filters with correct sequence & options","Chromium","Wed Nov 12 15:40:12 IST 2025","passed","Wed Nov 12 15:40:13 IST 2025","","tests\generated\QASE-301--Functional--Display-filters-with-correct-sequence---options.spec.ts","",""
"","3780","DEBUG - Locate Select Payer dropdown","Chromium","Wed Nov 12 15:40:31 IST 2025","passed","Wed Nov 12 15:40:35 IST 2025","","referrals.spec.ts","",""
"","5848","TC_RF_011 - Verify Select Payer dropdown is visible and functional","Chromium","Wed Nov 12 15:40:05 IST 2025","passed","Wed Nov 12 15:40:11 IST 2025","","referrals.spec.ts","",""
"","1079","QASE-248 - [Smoke]-Verify all Referral Types are available in drop down","Chromium","Wed Nov 12 15:40:00 IST 2025","passed","Wed Nov 12 15:40:01 IST 2025","","tests\generated\QASE-248--Smoke--Verify-all-Referral-Types-are-available-in-drop-down.spec.ts","",""
"","1750","QASE-247 - [Smoke]-Referral List loads successfully with expected filter options","Chromium","Wed Nov 12 15:39:58 IST 2025","passed","Wed Nov 12 15:40:00 IST 2025","","tests\generated\QASE-247--Smoke--Referral-List-loads-successfully-with-expected-filter-options.spec.ts","",""
"","1083","QASE-243 - ""Select Referral Type"" > Ensuring no issues with other filter combinations","Chromium","Wed Nov 12 15:39:54 IST 2025","passed","Wed Nov 12 15:39:55 IST 2025","","tests\generated\QASE-243--Select-Referral-Type----Ensuring-no-issues-with-other-filter-combinations.spec.ts","",""
"","1914","QASE-239 - Referral Type filter drop down > Placement","Chromium","Wed Nov 12 15:39:48 IST 2025","passed","Wed Nov 12 15:39:50 IST 2025","","tests\generated\QASE-239-Referral-Type-filter-drop-down---Placement.spec.ts","",""
"","1522","QASE-250 - ""Select Referral Type"" > deselect single and all options","Chromium","Wed Nov 12 15:40:03 IST 2025","passed","Wed Nov 12 15:40:04 IST 2025","","tests\generated\QASE-250--Select-Referral-Type----deselect-single-and-all-options.spec.ts","",""
